Timestamps,Interval to next sound_s,Keys pressed,Response Times
20230724T212308,9.0,[3],[362]
20230724T212317,7.34,[3],[257]
20230724T212325,1.43,[3],[312]
20230724T212326,6.16,[3],[268]
20230724T212332,2.53,[3],[237]
20230724T212335,3.57,[3],[322]
20230724T212339,3.91,[3],[213]
20230724T212342,7.64,[3],[224]
20230724T212350,4.21,[3],[240]
20230724T212354,1.06,[3],[194]
20230724T212355,8.53,[3],[254]
20230724T212404,7.91,[3],[259]
20230724T212412,4.8,[3],[339]
20230724T212417,3.22,[3],[260]
20230724T212420,7.35,[3],[245]
20230724T212427,3.8,[3],[309]
20230724T212431,3.8,[3],[230]
20230724T212435,5.23,[3],[249]
20230724T212440,6.13,[3],[239]
20230724T212446,5.79,[3],[232]
20230724T212452,3.13,[3],[275]
20230724T212455,5.57,[3],[262]
20230724T212501,8.18,[3],[246]
20230724T212509,2.39,[3],[185]
20230724T212511,7.26,[3],[235]
20230724T212519,8.23,[3],[231]
20230724T212527,8.49,[3],[237]
20230724T212535,4.33,[3],[190]
20230724T212540,5.56,[3],[250]
20230724T212545,5.56,[3],[253]
20230724T212551,6.64,[3],[220]
20230724T212558,5.94,[2],[225]
20230724T212603,2.44,[3],[273]
20230724T212606,7.36,[3],[220]
